microseconds,tokens ahead,probability ahead,probability score
281,0,0.0,0.7594695
284,0,0.0,0.7227733
272,0,0.0,0.8743425
275,0,0.0,0.75199366
277,0,0.0,0.99569005
289,0,0.0,0.5624218
274,0,0.0,0.8935201
279,0,0.0,0.89230436
338,0,0.0,0.9999738
382,0,0.0,0.99997365
330,0,0.0,0.9999993
292,0,0.0,0.5704812
318,0,0.0,0.9999993
336,0,0.0,0.99997747
276,0,0.0,0.9999956
377,0,0.0,0.9998989
292,84,0.8295508,0.0017046717
279,0,0.0,0.33001032
273,7,0.67488974,0.033643577
279,0,0.0,0.901396
30758,28,0.7938419,0.005071493
1848,73,0.8843257,0.0011258465
333,1,0.6140514,0.054255854
295,0,0.0,0.7303588
281,3,0.21718419,0.055350516
282,0,0.0,0.2505538
278,1,0.34700942,0.3452879
280,1,0.8411191,0.055380553
275,0,0.0,0.42154008
275,407,0.9162097,0.0001531984
277,0,0.0,0.977507
278,1,0.9857501,0.010349386
276,122,0.83776593,0.00079022115
278,0,0.0,0.6914847
283,0,0.0,0.99578106
25358,7,0.4281162,0.023019532
1817,2,0.3368394,0.13931873
290,230,0.9576491,0.0001720326
278,0,0.0,0.35825366
274,0,0.0,0.37508515
273,0,0.0,0.5944646
284,0,0.0,0.35346395
274,0,0.0,0.8315143
277,0,0.0,0.62554955
273,0,0.0,0.58260095
274,0,0.0,0.3562321
288,0,0.0,0.67709047
1170,0,0.0,0.994716
288,39,0.9267191,0.0011209103
281,3,0.81442595,0.028059319
463,68,0.84073585,0.0014843699
339,15,0.9281953,0.0028548923
281,11,0.54368234,0.01696137
491,0,0.0,0.93046105
398,0,0.0,0.99456173
286,0,0.0,0.9970661
397,11,0.5876062,0.01837272
299,1,0.2828834,0.20157604
288,153,0.9808216,0.0000739396
288,0,0.0,0.9542586
285,0,0.0,0.48782793
279,0,0.0,0.99707603
278,1,0.5246772,0.075641
36606,0,0.0,0.20693561
1922,2,0.4074981,0.09932655
332,0,0.0,0.9955835
287,0,0.0,0.2613658
299,4,0.97714263,0.008546609
283,6,0.5899067,0.04150796
284,0,0.0,0.7975595
288,0,0.0,0.5542138
285,0,0.0,0.9501366
290,1,0.42778918,0.39214906
289,2,0.19342923,0.069519624
284,0,0.0,0.9686612
386,0,0.0,0.27041414
304,0,0.0,0.33200982
301,22,0.9220226,0.003044561
307,0,0.0,0.27123326
1199,0,0.0,0.9118857
301,0,0.0,0.27613887
287,0,0.0,0.92965716
294,0,0.0,0.99942195
298,0,0.0,0.22319862
299,4,0.86183816,0.027595581
